hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,provider_name,google_name,city,type,group_name,tel_no,area,location
OTH0114,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Sahara Centre - Sharjah 1,Yateem Optician - Sahara Centre,SHARJAH,OPTICAL CENTER,Yateem Optician,06-5564050,Al Nahda St,"Al Nahda St, Sharjah"
OTH0115,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Fujairah Trade Centre,Yateem Optician,FUJAIRAH,OPTICAL CENTER,Yateem Optician,09-2222068,Hamdan Bin Abdullah Street - Fujairah,Hamdan Bin Abdullah Street - Fujairah
OTH0116,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Ajman,Yateem Optician,AJMAN,OPTICAL CENTER,Yateem Optician,06-7447658,Al Bustan,"Masfoot Road,Al Bustan, Ajman"
OTH0117,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Ajman,Yateem Optician,AJMAN,OPTICAL CENTER,Yateem Optician,06-5750838,City Centre,"Al Jurf, Ittihad, City Centre, Ajman"
OTH0118,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL COMPANY LLC BRANCH IBN BATUTA MALL,Magrabi - Ibn Battuta Mall,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04-3685683,IBN BATUTA MALL,"China Court, Unit # 147 A, Ibn Battuta Mall, Dubai, UAE"
OTH0119,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL (EMIRATES MALL),Magrabi - Mall Of The Emirates,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04- 3410445,Mall of the Emirates,"Unit # E-09, First Level, MOE"
OTH0120,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL COMPANY LLC ARABIAN CENTRE,Magrabi | Arabian Center,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04-2845530,ARABIAN PLAZA,"Arabian Plaza, Shop #  GF - 1622, Dubai UAE"
OTH0121,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL (DUBAI FESTIVAL CITY),Magrabi - Dubai Festival City Mall,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04 -2329866,DUBAI FESTIVAL CITY,"Dubai Festival City, Unit # SC 201"
OTH0122,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL COMPANY (LLC) BRANCH MARINA,Magrabi - Dubai Marina Mall,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04- 3997570,DUBAI MARINA MALL,"Dubai Marina Mall, Shop # GF 006"
OTH0123,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL COMPANY LLC (JUMAIRAH BRANCH),Magrabi - The Village Mall,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04-3499984,Jumeirah,"Shop # 1, Jumeira, Dubai UAE"
OTH0124,✔,✔,✔,✔,✔,✖,✖,MAGRABI OPTICAL LLC CO BR MARDIF CITY CENTRE,Magrabi - City Center Mirdif,DUBAI,OPTICAL CENTER,Magrabi Optical LLC,04- 2843246,MIRDIFF CITY CENTER,"Shop#D019, Ground Floor, Mirdiff City Center"
